UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_L,Type_M
-1.7318776111475085,0.694032762063013,-0.9523894433829583,-0.9473598877173782,0.06818514034143008,0.28219975602413067,-1.6959837443286896,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.7315312009842627,-1.3844282174119449,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.6333080199205777,-1.648851700781283,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.731184790821017,-1.384081807248699,-0.9523894433829583,-1.0147607733229451,-0.22744984015544953,0.9442896250860024,-1.6174303384163455,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.7308383806577712,-1.3837353970854531,-0.9023934097553371,-0.9473598877173782,-0.5900210426516227,-0.04884517850680491,-1.5860089760514078,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.7304919704945252,-1.3833889869222074,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.0013131449069732513,-1.5545876136864702,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.7301455603312794,0.6943791722262588,-0.9523894433829583,-0.9473598877173782,-0.6346451906511517,0.1919147738793301,-1.5231662513215327,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.7297991501680337,-1.3830425767589616,-0.9523894433829583,-0.9473598877173782,0.10723126984101795,0.24207309729310825,-1.4760342077741262,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.7294527400047877,-1.3826961665957156,-0.9523894433829583,-0.9473598877173782,-0.06568730365715691,0.021376474272484798,-1.4446128454091887,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.729106329841542,0.6947255823895047,-0.8523973761276875,-0.8799590021118496,0.7152352863346005,-1.1422966289271685,-1.4131914830442511,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.7287599196782961,0.6950719925527504,-0.7524053088724167,-0.677756345295187,1.1280086553302437,-1.2024866170237025,-1.3660594394968446,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.7284135095150504,-1.7318776111475085,-0.8024013425000663,-0.7451572309007539,1.3567074138278299,-1.6137848690166836,-1.3189273959494383,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,False
-1.7280670993518044,-1.7315312009842627,-0.7024092752447672,-0.61035545968962,-0.6458012276510339,0.4326747262654651,-1.2403739900370943,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,False
-1.7277206891885586,0.6954184027159963,-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928485,-1.1618205841247502,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.7273742790253128,0.6957648128792421,-0.7024092752447672,-0.5429545740840913,1.133586673830185,-1.0018533233685898,-1.114688540577344,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.727027868862067,-1.3823497564324698,-0.7024092752447672,-0.5429545740840913,2.7679460943129346,-2.0451464503751753,-1.0675564970299374,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.726681458698821,-1.382003346269224,-0.7024092752447672,-0.5429545740840913,0.017982973841959956,0.8439729782584461,-1.0361351346649998,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.7263350485355753,0.696111223042488,-0.7024092752447672,-0.5429545740840913,-1.2705392996444398,0.663403013968845,-1.0047137723000623,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.7259886383723295,0.6964576332057337,-0.652413241617146,-0.5429545740840913,-0.7183154681502685,0.5630863671412888,-0.9575817287526558,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.7256422282090838,-1.731184790821017,-0.6024172079894964,-0.5429545740840913,-1.2984293921441454,1.4559045239065398,-0.9104496852052494,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,False
-1.7252958180458378,0.6968040433689796,-0.5524211743618752,-0.47555368847852436,0.5200046388366611,-0.7510617062996991,-0.8318962792929054,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.724949407882592,-1.7308383806577712,-0.5524211743618752,-0.47555368847852436,-0.9135461156482079,0.2721680913413756,-0.784764235745499,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,False
-1.7246029977193462,-1.381656936105978,-0.6024172079894964,-0.47555368847852436,-0.49519472815262355,0.4828330496792433,-0.706210829833155,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.7242565875561005,0.6971504535322254,-0.5524211743618752,-0.47555368847852436,0.23552569533966383,-0.9316316705893005,-0.6747894674682174,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.7239101773928545,-1.3813105259427323,-0.5024251407342256,-0.4081528028729957,1.222834969829243,-1.4332149047270821,-0.627657423920811,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.7235637672296087,0.6974968636954713,-0.5024251407342256,-0.4081528028729957,0.12396532534084133,-0.26954180152742907,-0.5962360615558734,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,True
-1.723217357066363,-1.3809641157794865,-0.5024251407342256,-0.3407519172674287,1.7973708753231787,-1.6739748571132171,-0.549104018008467,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.7228709469031172,-1.3806177056162408,-0.452429107106576,-0.3407519172674287,-0.1493575811562738,-0.09900350192058306,-0.5176826556435293,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,True,False
-1.7225245367398712,-1.7304919704945252,-0.452429107106576,-0.4081528028729957,1.5184699503261225,-1.5435632162373938,-0.48626129327859174,0,-0.06797983367010212,-0.10786004157489551,-0.09793424119368434,-0.09948361928965135,-0.04363045807755068,False,False
